City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Sao Filipe,CV,78.58,overcast clouds,14.8961,-24.4956,Hotel Xaguate
6,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
7,Manati,PR,83.86,scattered clouds,18.4275,-66.4921,Manati World Point Inn
13,Formello,IT,73.11,scattered clouds,42.0801,12.3998,Antica Pietrara
18,Rikitea,PF,73.78,clear sky,-23.1203,-134.9692,People ThankYou
21,Sabha,LY,71.42,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
22,Markala,ML,79.41,scattered clouds,13.7021,-6.0659,Famille Abdoulaye Bana DIALLO
23,La Romana,DO,80.33,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
25,Ponta Do Sol,PT,70.43,scattered clouds,32.6667,-17.1,Hotel do Campo
26,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
28,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
30,Riyadh,SA,77.14,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
31,Salinas,US,72.57,scattered clouds,36.6777,-121.6555,Laurel Inn & Conference Center
36,Koppal,IN,72.91,overcast clouds,15.35,76.15,Hotel B.S.Pawar Grand
44,Hilo,US,87.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
45,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
51,Sibolga,ID,75.92,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
53,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
59,Kaseda,JP,81.63,few clouds,31.4167,130.3167,Sun Stay Kaseda
61,Itarema,BR,78.91,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
62,Salalah,OM,80.69,scattered clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
66,Maua,BR,70.36,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
67,Oriximina,BR,79.45,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
69,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
70,Gamba,GA,75.9,overcast clouds,-2.65,10.0,
75,Isangel,VU,75.83,broken clouds,-19.55,169.2667,Tanna Lodge
79,Pepel,SL,76.68,light rain,8.5817,-13.0628,Kingho Railway and Port
81,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
83,Kirakira,SB,84.9,overcast clouds,-10.4544,161.9205,SanBiz Lodge
85,Matara,LK,76.73,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
87,Jhalu,IN,75.58,clear sky,29.35,78.25,Paradise Palace
89,Guerrero Negro,MX,70.95,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
92,Eyl,SO,80.55,overcast clouds,7.9803,49.8164,Amiin Hotel
93,Damietta,EG,74.98,clear sky,31.4165,31.8133,SULIMAN INN
94,Kavieng,PG,83.86,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
96,Anzio,IT,74.52,few clouds,41.4853,12.6179,Beauty Hotel & SPA
97,Arraial Do Cabo,BR,71.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
102,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
107,Shingu,JP,74.39,overcast clouds,33.7333,135.9833,Shingu UI Hotel
111,Butaritari,KI,83.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
112,Poya,NC,77.65,clear sky,-21.35,165.15,
115,Mattru,SL,73.36,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
121,La Maddalena,IT,75.36,overcast clouds,41.2142,9.4083,Hotel Il Gabbiano
123,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
125,Shenjiamen,CN,78.42,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
127,Kudat,MY,84.13,few clouds,6.8837,116.8477,Dream Garden Hotel
131,Itaituba,BR,79.41,light rain,-4.2761,-55.9836,Hotel Campos
134,Tura,IN,78.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
135,Karratha,AU,75.45,clear sky,-20.7377,116.8463,ibis Styles Karratha
139,Cabedelo,BR,75.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
141,Corpus Christi,US,80.6,few clouds,27.8006,-97.3964,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
